id,score,chapterId,text,imageDesc,imageURL,metadata_json
taj-mahal1::164,0.0,taj-mahal1,"Akbar built his father Humayun a palace for eternity. Set in a charbagh, it was the first Indian garden-tomb. Architect Sayyid Muhammad of Herat multiplied the Timurid “eight paradises” into a new cosmic grid: red sandstone, white marble ribs, a dome like an echo of Samarkand. Beneath, the true grave lies in shadow; above, a symbolic one glows with light. The double structure meant body and soul, earth and heaven. Every later Mughal mausoleum—including the Taj—grew from this idea: that paradise could be mapped in stone and walked upon by mourners.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:44:19.198685Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Akbar built his father Humayun a palace for eternity. Set in a charbagh, it was the first Indian garden-tomb. Architect Sayyid Muhammad of Herat multiplied the Timurid “eight paradises” into a new cosmic grid: red sandstone, white marble ribs, a dome like an echo of Samarkand. Beneath, the true grave lies in shadow; above, a symbolic one glows with light. The double structure meant body and soul, earth and heaven. Every later Mughal mausoleum—including the Taj—grew from this idea: that paradise could be mapped in stone and walked upon by mourners.""}"
taj-mahal1::127,0.0,taj-mahal1,"“Red Garden.” Perhaps sandstone terraces glowing at sunset; perhaps a favorite of evening durbars. Nothing remains, but the name still colors the air.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:33:36.739172Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""“Red Garden.” Perhaps sandstone terraces glowing at sunset; perhaps a favorite of evening durbars. Nothing remains, but the name still colors the air.""}"
taj-mahal1::121,0.0,taj-mahal1,"Jahangir’s son Parwiz—Dara Shikoh’s future father-in-law—died in Burhanpur; his tomb rose here on the left bank. The garden is gone, but the cube-and-dome structure remains over vaulted subrooms laid out in a simple hasht-bihisht logic. Inside, a Shahjahani net vault of qalib-kari lingers in patches of plaster and paint. Locals know it more than tourists do. Approach from the lane, and you feel the Mughal habit: even minor tombs are little essays on proportion.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:33:31.825527Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Jahangir’s son Parwiz—Dara Shikoh’s future father-in-law—died in Burhanpur; his tomb rose here on the left bank. The garden is gone, but the cube-and-dome structure remains over vaulted subrooms laid out in a simple hasht-bihisht logic. Inside, a Shahjahani net vault of qalib-kari lingers in patches of plaster and paint. Locals know it more than tourists do. Approach from the lane, and you feel the Mughal habit: even minor tombs are little essays on proportion.""}"
taj-mahal1::158,0.0,taj-mahal1,"Lahauri called them “mute eloquence.” He meant that Shah Jahan’s palaces spoke long after the emperor fell silent. Their symmetry, he wrote, expressed purity and high aspiration—the way the sun expresses light. Each column praised order; each dome whispered authority. In this peaceful reign, he said, the art of building astonished even world travelers. To stand before such geometry was to feel hierarchy and serenity merged. Even now, these stones continue their speech, the kind you hear not with ears but with balance—the language of proportion.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:44:13.047015Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Lahauri called them “mute eloquence.” He meant that Shah Jahan’s palaces spoke long after the emperor fell silent. Their symmetry, he wrote, expressed purity and high aspiration—the way the sun expresses light. Each column praised order; each dome whispered authority. In this peaceful reign, he said, the art of building astonished even world travelers. To stand before such geometry was to feel hierarchy and serenity merged. Even now, these stones continue their speech, the kind you hear not with ears but with balance—the language of proportion.""}"
taj-mahal1::135,0.0,taj-mahal1,"Nephew to Nur Jahan, brother to Mumtaz—Shayista Khan sat at the crossroads of blood and bureaucracy. He backed Aurangzeb during the succession crisis and rose to amir-ul-umara. Governor of the Deccan, then Bengal, then Agra—his wealth became legend. His Agra haveli stood by Aurangzeb’s complex, a neighbor to history. He built roads, sarais, and works for the public; Tieffenthaler credited him with city walls. In court ritual he earned a rare privilege: to bring his palanquin into the Hall of Private Audience. The house is gone, but the story lingers: sometimes the builder outlasts the general.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:43:46.425056Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Nephew to Nur Jahan, brother to Mumtaz—Shayista Khan sat at the crossroads of blood and bureaucracy. He backed Aurangzeb during the succession crisis and rose to amir-ul-umara. Governor of the Deccan, then Bengal, then Agra—his wealth became legend. His Agra haveli stood by Aurangzeb’s complex, a neighbor to history. He built roads, sarais, and works for the public; Tieffenthaler credited him with city walls. In court ritual he earned a rare privilege: to bring his palanquin into the Hall of Private Audience. The house is gone, but the story lingers: sometimes the builder outlasts the general.""}"
taj-mahal1::128,0.0,taj-mahal1,"One is simply “Chahar-Bagh Padshahi,” the other “Second Chahar-Bagh.” Their ancestor is Babur’s own Bagh-i Hasht Bihisht—India’s first Mughal charbagh by the river. Babur lists a great well, an octagonal pool, stone halls, a wooden talar, and a private khilwat garden. Only wells survive—but in his prose you can still smell musk rose and geometry.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:33:37.557530Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""One is simply “Chahar-Bagh Padshahi,” the other “Second Chahar-Bagh.” Their ancestor is Babur’s own Bagh-i Hasht Bihisht—India’s first Mughal charbagh by the river. Babur lists a great well, an octagonal pool, stone halls, a wooden talar, and a private khilwat garden. Only wells survive—but in his prose you can still smell musk rose and geometry.""}"
taj-mahal1::133,0.0,taj-mahal1,"Father of Mumtaz Mahal. Brother of Nur Jahan. Shah Jahan’s “Right Hand of the Empire.” Asaf Khan’s riverside mansion was a second court. Jahangir loved its hammam: hot, perfumed, tiled, a winter sun in steam. Later writers swore a great pillared hall matched the emperor’s own Audience Hall. Servants were famously well kept; the kitchens knew every spice note of the empire. In 1857 the British blew up what remained, fearing a rebel redoubt—proof that even ruins can threaten. Think of the Nishat Bagh in Kashmir with nine terraces; then shrink that grandeur to a single hall and set it here, by the Yamuna’s slow glass.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:43:43.705278Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Father of Mumtaz Mahal. Brother of Nur Jahan. Shah Jahan’s “Right Hand of the Empire.” Asaf Khan’s riverside mansion was a second court. Jahangir loved its hammam: hot, perfumed, tiled, a winter sun in steam. Later writers swore a great pillared hall matched the emperor’s own Audience Hall. Servants were famously well kept; the kitchens knew every spice note of the empire. In 1857 the British blew up what remained, fearing a rebel redoubt—proof that even ruins can threaten. Think of the Nishat Bagh in Kashmir with nine terraces; then shrink that grandeur to a single hall and set it here, by the Yamuna’s slow glass.""}"
taj-mahal1::161,0.0,taj-mahal1,"Every masterpiece had its scribe. Lahauri, Kanbo, Abu Talib Kalim, Qudsi—they described the Taj and the forts as if chronicling battles of beauty. Shah Jahan personally reviewed their texts, ensuring each metaphor served the throne. Thus history and architecture merged: poetry gave the marble a voice; the marble gave the poetry proof. When Lahauri wrote that “the Taj Mahal astonishes the world traveler hard to please,” he wasn’t exaggerating—he was completing the building with words. For Shah Jahan, legacy meant literature carved in both ink and stone.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:44:15.917591Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Every masterpiece had its scribe. Lahauri, Kanbo, Abu Talib Kalim, Qudsi—they described the Taj and the forts as if chronicling battles of beauty. Shah Jahan personally reviewed their texts, ensuring each metaphor served the throne. Thus history and architecture merged: poetry gave the marble a voice; the marble gave the poetry proof. When Lahauri wrote that “the Taj Mahal astonishes the world traveler hard to please,” he wasn’t exaggerating—he was completing the building with words. For Shah Jahan, legacy meant literature carved in both ink and stone.""}"
taj-mahal1::184,0.0,taj-mahal1,"By the mid-nineteenth century, parchin kari in Agra had nearly fallen silent. Stones were missing from vines; skills were slipping away. Then a doctor with a camera—John Murray, an early photographer of the Taj—helped revive the craft. Workshops stirred again, teaching measured cuts, wet saws, and the old patience. Today, conservation teams still replace lost leaves and petals using Mughal methods. You’ll see the posture, the bow-saw, the abrasives, the slow polish to an invisible seam. The Taj keeps its promise: not only to endure, but to keep the knowledge of hands alive.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:44:42.131274Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""By the mid-nineteenth century, parchin kari in Agra had nearly fallen silent. Stones were missing from vines; skills were slipping away. Then a doctor with a camera—John Murray, an early photographer of the Taj—helped revive the craft. Workshops stirred again, teaching measured cuts, wet saws, and the old patience. Today, conservation teams still replace lost leaves and petals using Mughal methods. You’ll see the posture, the bow-saw, the abrasives, the slow polish to an invisible seam. The Taj keeps its promise: not only to endure, but to keep the knowledge of hands alive.""}"
taj-mahal1::116,0.0,taj-mahal1,"Jahangir’s “Light-Scattering” garden—likely on Babur’s older foundations—mixes river terrace with landward chahar-bagh. Water chutes with fish-scale carving step down to a 3×2 grid of raised walks; beneath the terrace, cool tahkhana rooms and a hammam with bangla vaults whisper of summers escaped. Two slim pavilions face each other across a pool; their peacock brackets, muqarnas capitals, and painted angels and birds hint at Nur Jahan’s taste and Jahangir’s love of nature. Later the British honeymooned here; the paintings resurfaced under lime.",,,"{""chapterId"": ""taj-mahal1"", ""createdAt"": ""2025-11-17T07:33:26.909096Z"", ""imageDesc"": """", ""imageURL"": """", ""text"": ""Jahangir’s “Light-Scattering” garden—likely on Babur’s older foundations—mixes river terrace with landward chahar-bagh. Water chutes with fish-scale carving step down to a 3×2 grid of raised walks; beneath the terrace, cool tahkhana rooms and a hammam with bangla vaults whisper of summers escaped. Two slim pavilions face each other across a pool; their peacock brackets, muqarnas capitals, and painted angels and birds hint at Nur Jahan’s taste and Jahangir’s love of nature. Later the British honeymooned here; the paintings resurfaced under lime.""}"
